id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,nama_komoditas,bulan,tanggal,harga_komoditas,satuan,tahun,day_of_year
1,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000001,27000,KILOGRAM,2023,1
2,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000002,27000,KILOGRAM,2023,1
3,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000003,27000,KILOGRAM,2023,1
4,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000004,28000,KILOGRAM,2023,1
5,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000005,28000,KILOGRAM,2023,1
6,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000006,28000,KILOGRAM,2023,1
7,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000007,28000,KILOGRAM,2023,1
8,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000008,28000,KILOGRAM,2023,1
9,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000009,28000,KILOGRAM,2023,1
10,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000010,29000,KILOGRAM,2023,1
11,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000011,28000,KILOGRAM,2023,1
12,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000012,28000,KILOGRAM,2023,1
13,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000013,28000,KILOGRAM,2023,1
14,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000014,28000,KILOGRAM,2023,1
15,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000015,31000,KILOGRAM,2023,1
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000016,31000,KILOGRAM,2023,1
17,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000017,32000,KILOGRAM,2023,1
18,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000018,34000,KILOGRAM,2023,1
19,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000019,34000,KILOGRAM,2023,1
20,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000020,32000,KILOGRAM,2023,1
21,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000021,32000,KILOGRAM,2023,1
22,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000022,32000,KILOGRAM,2023,1
23,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000023,32000,KILOGRAM,2023,1
24,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000024,31000,KILOGRAM,2023,1
